,FullClassPath,Project_x,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Project_y,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
1615,org.gjt.sp.jedit.gui.EditAbbrevDialog,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,EditAbbrevDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/EditAbbrevDialog.java,jEdit-5.5.0,EditAbbrevDialog,179,6,4,0,2,False,False,3,False,False,8,3,7,13,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1616,org.gjt.sp.jedit.gui.EnhancedButton,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,EnhancedButton,jEdit-v5.5.0/org/gjt/sp/jedit/gui/EnhancedButton.java,jEdit-5.5.0,EnhancedButton,74,0,1,0,0,False,False,2,False,False,2,0,3,1,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1617,org.gjt.sp.jedit.gui.EnhancedDialog,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,EnhancedDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/EnhancedDialog.java,jEdit-5.5.0,EnhancedDialog,213,2,3,1,1,False,False,2,False,False,16,1,4,17,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
1618,org.gjt.sp.jedit.gui.ErrorListDialog,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ErrorListDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/ErrorListDialog.java,jEdit-5.5.0,ErrorListDialog,236,1,2,0,0,False,False,3,False,False,6,0,12,17,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
1619,org.gjt.sp.jedit.gui.ExtendedGridLayout,jEdit-5.5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ExtendedGridLayout,jEdit-v5.5.0/org/gjt/sp/jedit/gui/ExtendedGridLayout.java,jEdit-5.5.0,ExtendedGridLayout,1222,4,15,0,3,False,False,3,False,False,63,32,15,70,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1620,org.gjt.sp.jedit.gui.ExtendedGridLayoutConstraints,jEdit-5.5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ExtendedGridLayoutConstraints,jEdit-v5.5.0/org/gjt/sp/jedit/gui/ExtendedGridLayoutConstraints.java,jEdit-5.5.0,ExtendedGridLayoutConstraints,476,10,15,1,10,False,False,4,False,False,12,4,1,3,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
1621,org.gjt.sp.jedit.gui.FilePropertiesDialog,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,FilePropertiesDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/FilePropertiesDialog.java,jEdit-5.5.0,FilePropertiesDialog,343,9,9,0,0,False,False,3,False,False,12,0,21,34,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
1622,org.gjt.sp.jedit.gui.FilesChangedDialog,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,FilesChangedDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/FilesChangedDialog.java,jEdit-5.5.0,FilesChangedDialog,432,9,5,0,0,False,False,3,False,False,26,1,8,38,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1623,org.gjt.sp.jedit.gui.FilteredListModel,jEdit-5.5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FilteredListModel,jEdit-v5.5.0/org/gjt/sp/jedit/gui/FilteredListModel.java,jEdit-5.5.0,FilteredListModel,280,5,15,3,5,False,False,3,False,False,13,11,4,12,0.0,True,False,False,True,False,public,0,0,0,True,Information Holder
1624,org.gjt.sp.jedit.gui.FontSelector,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FontSelector,jEdit-v5.5.0/org/gjt/sp/jedit/gui/FontSelector.java,jEdit-5.5.0,FontSelector,166,1,5,2,0,False,False,2,True,False,4,3,10,5,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1625,org.gjt.sp.jedit.gui.FontSelectorDialog,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,FontSelectorDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/FontSelectorDialog.java,jEdit-5.5.0,FontSelectorDialog,387,12,7,0,2,False,False,3,False,False,10,4,10,27,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1626,org.gjt.sp.jedit.gui.HistoryTextArea,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,HistoryTextArea,jEdit-v5.5.0/org/gjt/sp/jedit/gui/HistoryTextArea.java,jEdit-5.5.0,HistoryTextArea,201,1,8,3,2,False,False,3,False,False,12,5,5,25,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1627,org.gjt.sp.jedit.gui.HistoryTextField,jEdit-5.5.0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,HistoryTextField,jEdit-v5.5.0/org/gjt/sp/jedit/gui/HistoryTextField.java,jEdit-5.5.0,HistoryTextField,418,3,13,7,2,False,False,3,False,False,16,7,8,36,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
