,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
105,com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,com.amaze.filemanager.ui.fragments.preference_fragments.PreferencesConstants,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,com.amaze.filemanager.ui.icons.Icons,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
108,com.amaze.filemanager.ui.notifications.NotificationConstants,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
109,com.amaze.filemanager.ui.views.Indicator,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
110,com.amaze.filemanager.ui.views.RoundedImageView,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,com.amaze.filemanager.ui.views.ScrimInsetsRelativeLayout,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,com.amaze.filemanager.ui.views.WarnableTextInputValidator,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,com.amaze.filemanager.ui.views.appbar.AppBar,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,com.amaze.filemanager.ui.views.appbar.BottomBar,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
115,com.amaze.filemanager.ui.views.appbar.SearchView,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,com.amaze.filemanager.ui.views.drawer.Drawer,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
117,com.amaze.filemanager.utils.DataUtils,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
118,com.amaze.filemanager.utils.DatapointParcelable,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,com.amaze.filemanager.utils.MainActivityHelper,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
